"key","stockid","stockid_code","region","comparison","stock_comparison","stock_comparison_code","period","ty","MethodChange","B_recent","B_old","F_recent","F_old","Bmsy_recent","Bmsy_old","Fmsy_recent","Fmsy_old","B_by_Bmsy_recent","B_by_Bmsy_old","F_by_Fmsy_recent","F_by_Fmsy_old","OFL_ty_recent","OFL_ty_old","ty_code","num_assess","council","CouncilCode","interval.x","mu_B","mu_F","mu_Bmsy","mu_Fmsy","mu_B_by_Bmsy","mu_F_by_Fmsy","mu_OFL","log_B_recent","log_B_old","log_F_recent","log_F_old","log_Bmsy_recent","log_Bmsy_old","log_Fmsy_recent","log_Fmsy_old","log_B_by_Bmsy_recent","log_B_by_Bmsy_old","log_F_by_Fmsy_recent","log_F_by_Fmsy_old","log_OFL_ty_recent","log_OFL_ty_old","OFL_label","F_Fmsy_label","B_Bmsy_label","Fmsy_label","Bmsy_label","F_label","B_label","col_OFL_label","col_F_Fmsy_label","col_B_Bmsy_label","col_Fmsy_label","col_Bmsy_label","col_F_label","col_B_label","interval.y"
"ACADREDGOMGB_1","ACADREDGOMGB",1,"US East Coast",1,"ACADREDGOMGB_1",1,2,2007,NA,206000,235000,0.00578,0.005,281112,203582,0.038,0.040895,0.732804007,1.154326021,0.152105263,0.122264335,7493.452921,9186.497689,1,2,"NEFMC",3,7,206000,0.00578,281112,0.038,0.732804007,0.152105263,7493.452921,12.2356314477717,12.3673407931263,-5.15335159629785,-5.29831736654804,12.5465084454178,12.2238241511058,-3.27016911925575,-3.1967474727952,-0.310876997569481,0.143516642051198,-1.88318247808016,-2.10156989778784,8.92178497442036,9.12549004249496,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,7
"ALBANATL_1","ALBANATL",2,"Atlantic Ocean",1,"ALBANATL_1",2,1,2011,NA,529000,325000,0.037807183,0.061538462,416186.6209,435300,0.0871,0.084,1.271064406,0.746611532,0.42250287,0.75,44126.3062,22669.5626,1,2,"AOHS",17,4,529000,0.037807183,416186.6209,0.0871,1.271064406,0.42250287,44126.3062,13.1787437108404,12.6915804613119,-3.27525616795431,-2.78809290127575,12.9388890465816,12.9837907275404,-2.44069839512368,-2.47693848013882,0.239854664408904,-0.292210266598976,-0.861559039308572,-0.287682072451781,10.6948113960637,10.028778449094,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4
"ALBANPAC_1","ALBANPAC",3,"Pacific Ocean",1,"ALBANPAC_1",3,1,2012,NA,895000,669000,0.103798883,0.119880419,24810.4438,49680,0.7706,NA,2.942309319,2.214170692,0.661821957,NA,480851.8673,NA,1,2,"POHS",19,3,895000,0.103798883,24810.4438,0.7706,2.942309319,0.661821957,480851.8673,13.704578997257,13.4135393391104,-2.26530006938725,-2.12126054137795,10.1190199644743,10.8133577166074,-0.26058584679008,NA,1.0791947556736,0.794877927972284,-0.412758706347803,NA,13.0833145334647,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3
"ALPLAICBSAI_1","ALPLAICBSAI",4,"US Alaska",1,"ALPLAICBSAI_1",4,1,2010,NA,554000,765000,0.029241877,0.018169935,115087,155900,0.175,0.77,1.946353628,1.924310455,0.275428571,0.043506494,83560.29132,369256.4221,1,2,"NPFMC",4,4,554000,0.029241877,115087,0.175,1.946353628,0.275428571,83560.29132,13.2249199657294,13.5476311128087,-3.53215345327438,-4.00798697390572,11.6534436430662,11.9569700550459,-1.74296930505862,-0.261364764134408,0.665957687706862,0.654567698374137,-1.28942695442298,-3.13484506467343,11.3333237020215,12.819246592524,NA,4,NA,4,NA,NA,NA,1,4,1,4,1,1,1,4
"AMPL23K_1","AMPL23K",5,"Canada East Coast",1,"AMPL23K_1",5,2,2003,NA,8000,8010,0.00425,0.00424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"Canada East Coast",10,8,8000,0.00425,NA,NA,NA,NA,NA,8.98719682066197,8.9884460400624,-5.46083629604581,-5.46319200973827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,8
"AMPL5YZ_1","AMPL5YZ",6,"US East Coast",1,"AMPL5YZ_1",6,1,2010,NA,14000,17600,0.14,0.09,13107,18398,0.196,0.18,1.068131533,0.95662572,0.714285714,0.5,2265.83239,2635.597515,1,2,"NEFMC",3,4,14000,0.14,13107,0.196,1.068131533,0.714285714,2265.83239,9.5468126085974,9.77565418102624,-1.96611285637283,-2.40794560865187,9.48090171761955,9.8199972420371,-1.62964061975162,-1.71479842809193,0.0659108911943502,-0.0443430612063139,-0.336472237021213,-0.693147180559945,7.7256974715089,7.87686519617991,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4
"ANCHMEDGSA17-18_1","ANCHMEDGSA17-18",7,"Mediterranean-Black Sea",1,"ANCHMEDGSA17-18_1",7,1,2013,NA,394000,309000,1.23,1.04,NA,NA,0.48,NA,NA,NA,2.5625,NA,150199.3436,NA,1,2,"MBS",20,2,394000,1.23,NA,0.48,NA,2.5625,150199.3436,12.8841061882801,12.6410965558799,0.207014169384326,0.0392207131532813,NA,NA,-0.7339691750802,NA,NA,NA,0.940983344464527,NA,11.9197186481295,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2
"ANCHOBAYB_1","ANCHOBAYB",1,"Europe (EU)",1,"ANCHOBAYB_1",1,2,2006,NA,20900,23500,0.0841,0.0416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"Europe (EU)",8,9,20300,0.086,21000,NA,0.995238095,NA,NA,9.9475044379529,10.0647557001323,-2.47574871200323,-3.17965511171492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,9
"ANCHOBAYB_2","ANCHOBAYB",1,"Europe (EU)",2,"ANCHOBAYB_2",2,2,2006,NA,20900,23500,0.083732057,0.0416,21000,NA,NA,NA,0.995238095,NA,NA,NA,NA,NA,1,4,"Europe (EU)",8,9,20300,0.086,21000,NA,0.995238095,NA,NA,9.9475044379529,10.0647557001323,-2.48013337600677,-3.17965511171492,9.95227771670556,NA,NA,NA,-0.00477327899189208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,9
"ANCHOBAYB_3","ANCHOBAYB",1,"Europe (EU)",3,"ANCHOBAYB_3",3,2,2006,NA,20300,23500,0.086,0.0416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"Europe (EU)",8,11,20300,0.086,21000,NA,0.995238095,NA,NA,9.91837616502988,10.0647557001323,-2.45340798272863,-3.17965511171492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,11
