"stockid","stocklong","region","assessment_years"
"ANCHOBAYB","Anchovy Bay of Biscay","Europe (EU)","1986-2013,1986-2014,1986-2015,1986-2016,1986-2017,1986-2007"
"BWHITNEA","Blue whiting Northeast Atlantic","Europe (EU)","1980-2012,1980-2013,1980-2014,1980-2015,1980-2017,1980-2018"
"CODIS","Atlantic cod Irish Sea","Europe (EU)","1968-2010,1967-2013,1967-2014,1967-2015,1967-2016,1968-2017"
"CODVIa","Atlantic cod West of Scotland","Europe (EU)","1980-2013,1980-2014,1980-2015,1980-2017,1981-2012,1981-2016"
"CODVIIek","Atlantic cod Celtic Sea","Europe (EU)","1971-2012,1970-2013,1970-2014,1970-2015,1970-2016,1970-2017"
"HADIS","Haddock Irish Sea","Europe (EU)","1991-2014,1991-2015,1991-2016,1993-2016,1993-2017,1972-2012"
"HADNEAR","Haddock North-East Arctic","Europe (non-EU)","1947-2012,1947-2013,1947-2014,1947-2015,1947-2016,1947-2017"
"HADNS-IIIa-VIa","Haddock ICES 3a-4-6a","Europe (EU)","1972-2014,1972-2015,1972-2015,1972-2016,1972-2017,1972-2018"
"HADROCK","Haddock Rockall Bank","Europe (EU)","1990-2013,1990-2014,1990-2015,1990-2016,1990-2017,1990-2012"
"HADVIIb-k","Haddock ICES 7b-k","Europe (EU)","1993-2013,1993-2014,1993-2015,1993-2016,1993-2017,1987-2012"
"HERR2529-32","Herring Subdivisions 25-29 and 32","Europe (EU)","1973-2013,1973-2014,1973-2015,1973-2016,1973-2017,1973-2018"
"HMACKIXa","Horse mackerel Portugese Waters -East","Europe (EU)","1992-2013,1992-2014,1992-2015,1992-2016,1992-2017,1992-2018"
"MACKNEICES","Mackerel ICES Northeast Atlantic","Europe (EU)","1972-2007,1980-2013,1980-2014,1980-2015,1980-2016,1980-2017"
"PLAICIS","European plaice Irish Sea","Europe (EU)","1964-2015,1964-2016,1980-2017,1980-2018,1992-2014,1992-2010"
"POLLNEAR","Pollock North-East Arctic","Europe (non-EU)","1957-2012,1957-2014,1957-2015,1957-2016,1957-2017,1957-2018"
"WANGLVIIIc-IXa","White anglerfish ICES 8c-9a","Europe (EU)","1980-2014,1980-2015,1980-2016,1980-2017,1980-2018,1980-2013"
"WHITVIa","Whiting West of Scotland","Europe (EU)","1980-2013,1980-2014,1980-2015,1980-2016,1980-2017,1980-2012"
"WHITVIIek","Whiting Celtic Sea","Europe (EU)","1981-2013,1999-2014,1999-2015,1999-2016,1999-2017,1981-2012"
