stockid,stocklong,region,assessment years
CSALMAKPSESCD,Chum salmon AK Pen Southeastern and South-central Districts,US Alaska (Pacific Salmon),1962-2005
CSALMAKPSWUD,Chum salmon AK Pen Southwestern and Unimak Districts,US Alaska (Pacific Salmon),1962-2005
CSALMANDREAR,Chum salmon Andreafsky River,US Alaska (Pacific Salmon),1972-1998
CSALMANVIKR,Chum salmon Anvik River,US Alaska (Pacific Salmon),1972-1996
CSALMBEARR,Chum salmon Bear River,US Alaska (Pacific Salmon),1962-1998
CSALMBECHSNWD,"Chum salmon Bechevin, Swanson (Northwestern District)",US Alaska (Pacific Salmon),1962-1998
CSALMBLKAMR,Chum salmon Big and Little Kamishak Rivers,US Alaska (Pacific Salmon),1973-1998
CSALMBRUINR,Chum salmon Bruin River,US Alaska (Pacific Salmon),1971-1998
CSALMCARIBOUF,Chum salmon CaribouFlats,US Alaska (Pacific Salmon),1962-1998
CSALMCHIDWD,Chum salmon Chignik Western District,US Alaska (Pacific Salmon),1962-1996
CSALMCHIGCD,Chum salmon Chignik Central District,US Alaska (Pacific Salmon),1962-1996
CSALMCHIGED,Chum salmon Chignik Eastern District,US Alaska (Pacific Salmon),1962-1996
CSALMCINDERR,Chum salmon Cinder River,US Alaska (Pacific Salmon),1962-1998
CSALMCWCIR,Chum salmon Cottonwood Creek and Iniskin River,US Alaska (Pacific Salmon),1968-1998
CSALMDFL,Chum salmon Dogfish Lagoon,US Alaska (Pacific Salmon),1964-1998
CSALMEALSEKR,Chum salmon East Alsek River,US Alaska (Pacific Salmon),1960-1991
CSALMFISHC,Chum salmon Fish Creek,US Alaska (Pacific Salmon),1971-2002
CSALMGOLOVIN,Chum salmon Golovin,US Alaska (Pacific Salmon),1962-2005
CSALMGOODNEWSR,Chum salmon Goodnews River,US Alaska (Pacific Salmon),1969-2002
CSALMIZEMBEKMNWD,"Chum salmon Izembek, Moffet (Northwestern District)",US Alaska (Pacific Salmon),1962-1998
CSALMKADASHANC,Chum salmon Kadashan Creek,US Alaska (Pacific Salmon),1969-1988
CSALMKANEKTOKR,Chum salmon Kanektok River,US Alaska (Pacific Salmon),1961-2002
CSALMKOTZEBUES,Chum salmon Kotzebue Sound,US Alaska (Pacific Salmon),1962-2004
CSALMKTRNS,Chum salmon Kwiniuk and Tubutulik Rivers (Norton Sound),US Alaska (Pacific Salmon),1962-2004
CSALMKUSKOKWIM,Chum salmon Kuskokwim,US Alaska (Pacific Salmon),1961-2005
CSALMMNRSD,Chum salmon McNeil River (and Sub-District),US Alaska (Pacific Salmon),1973-1998
CSALMNELSONL,Chum salmon NelsonLagoon,US Alaska (Pacific Salmon),1962-1998
CSALMNORTONB,Chum salmon Norton Bay,US Alaska (Pacific Salmon),1962-2003
CSALMNORTONSD1,Chum salmon Norton Sound District 1,US Alaska (Pacific Salmon),1964-2004
CSALMNUSHAGAKD,Chum salmon Nushagak District,US Alaska (Pacific Salmon),1968-2004
CSALMPDIC,Chum salmon Port Dick and Island Creek,US Alaska (Pacific Salmon),1964-1998
CSALMPERRYVILLED,Chum salmon Perryville District,US Alaska (Pacific Salmon),1962-1996
CSALMPGRAHAM,Chum salmon Port Graham,US Alaska (Pacific Salmon),1964-1998
CSALMPHEIDEN,Chum salmon PortHeiden,US Alaska (Pacific Salmon),1962-1998
CSALMPMOLLERBT,Chum salmon PMollerBt,US Alaska (Pacific Salmon),1962-1998
CSALMROCKYR,Chum salmon Rocky River,US Alaska (Pacific Salmon),1964-1998
CSALMSHAKTOOLIK,Chum salmon Shaktoolik,US Alaska (Pacific Salmon),1961-2004
CSALMTHREEH,Chum salmon ThreeHills,US Alaska (Pacific Salmon),1962-1998
CSALMTOGD,Chum salmon Togiak District,US Alaska (Pacific Salmon),1975-2004
CSALMUCOOKI,Chum salmon Upper Cook Inlet,US Alaska (Pacific Salmon),1956-2004
CSALMUNALAKLEET,Chum salmon Unalakleet,US Alaska (Pacific Salmon),1961-2004
CSALMURSUSCL,Chum salmon Ursus Cove and Lagoon,US Alaska (Pacific Salmon),1972-1998
CSALMYUKONRFR,Chum salmon Yukon River Fall Run,US Alaska (Pacific Salmon),1961-2003
CSALMYUKONRSR,Chum salmon Yukon River Summer Run,US Alaska (Pacific Salmon),1961-2003
HERRPWS,Pacific herring Prince William Sound,US Alaska,1980-2006
HERRSITKA,Pacific herring Sitka,US Alaska,1978-2007
HERRTOG,Pacific herring Togiak District,US Alaska,1990-2010
PSALMAFFLECKCI,Pink salmon Affleck Cl (District105),US Alaska (Pacific Salmon),1960-1998
PSALMAFOGNAKD,Pink salmon Afognak District,US Alaska (Pacific Salmon),1978-1998
PSALMAIALIKL,Pink salmon Aialik Lagoon (Eastern D),US Alaska (Pacific Salmon),1962-1998
PSALMAKPNWD,Pink salmon AK Pen Northwestern District,US Alaska (Pacific Salmon),1962-1998
PSALMAKPSESCD,Pink salmon AK Pen Southeastern and South-central Districts,US Alaska (Pacific Salmon),1962-1998
PSALMAKPSWUD,Pink salmon AK Pen Southwestern and Unimak Districts,US Alaska (Pacific Salmon),1962-1998
PSALMALITAKD,Pink salmon Alitak District,US Alaska (Pacific Salmon),1978-1998
PSALMAMAKC,Pink salmon Amakdedori Creek (Kamishak D),US Alaska (Pacific Salmon),1960-1997
PSALMANAN,Pink salmon Anan (District107),US Alaska (Pacific Salmon),1960-1998
PSALMAUKEC,Pink salmon Auke Creek (Northern Inside),US Alaska (Pacific Salmon),1971-1998
PSALMBARABARA,Pink salmon Barabara (Southern D),US Alaska (Pacific Salmon),1960-1998
PSALMBARANOFE,Pink salmon Baranof E (District109),US Alaska (Pacific Salmon),1960-1998
PSALMBKAMISHAKR,Pink salmon Big Kamishak River  (Kamishak D),US Alaska (Pacific Salmon),1962-1996
PSALMBRUINR,Pink salmon Bruin River,US Alaska (Pacific Salmon),1960-1998
PSALMBURNETT,Pink salmon Burnett (District106),US Alaska (Pacific Salmon),1960-1998
PSALMCHIGNIKBD,Pink salmon Chignik Bay District,US Alaska (Pacific Salmon),1962-1997
PSALMCHIGNIKCD,Pink salmon Chignik Central District,US Alaska (Pacific Salmon),1962-1997
PSALMCHIGNIKED,Pink salmon Chignik Eastern District,US Alaska (Pacific Salmon),1962-1997
PSALMCHIGNIKWD,Pink salmon Chignik Western District,US Alaska (Pacific Salmon),1962-1997
PSALMCHINAP,Pink salmon China Poot (Southern D),US Alaska (Pacific Salmon),1960-1998
PSALMCOGHILLD,Pink salmon Coghill District,US Alaska (Pacific Salmon),1965-1998
PSALMDOGFISH,Pink salmon Dogfish (Southern D),US Alaska (Pacific Salmon),1960-1998
PSALMEBEHM,Pink salmon EBehm (District 101),US Alaska (Pacific Salmon),1960-1998
PSALMEDALL,Pink salmon EDall (District103),US Alaska (Pacific Salmon),1960-1998
PSALMELIZAH,Pink salmon Eliza Hbr (District109),US Alaska (Pacific Salmon),1960-1998
PSALMESHAMYD,Pink salmon Eshamy District,US Alaska (Pacific Salmon),1965-1998
PSALMESND,Pink salmon Eastside-Northend District,US Alaska (Pacific Salmon),1978-1998
PSALMFARRAGUT,Pink salmon Farragut (District110),US Alaska (Pacific Salmon),1960-1998
PSALMFRESHWB,Pink salmon Freshw By (District112),US Alaska (Pacific Salmon),1960-1998
PSALMGOLOVIN,Pink salmon Golovin,US Alaska (Pacific Salmon),1962-2004
PSALMHETTA,Pink salmon Hetta (District103),US Alaska (Pacific Salmon),1960-1998
PSALMHOMES,Pink salmon Homeshor (District114),US Alaska (Pacific Salmon),1960-1998
PSALMHOONAHS,Pink salmon Hoonah S (District113),US Alaska (Pacific Salmon),1960-1998
PSALMHOUGHTON,Pink salmon Houghton (District110),US Alaska (Pacific Salmon),1960-1998
PSALMHUMPCY,Pink salmon Humpy Creek (Yakutat),US Alaska (Pacific Salmon),1962-1994
PSALMHUMPYCCISD,Pink salmon Humpy Creek (Cook Inlet Southern D),US Alaska (Pacific Salmon),1960-1998
PSALMIGUSHIK,Pink salmon Igushik River,US Alaska (Pacific Salmon),1962-1984
PSALMJAMESLOD,Pink salmon James Lagoon (Outer D),US Alaska (Pacific Salmon),1980-1995
PSALMKASAAN,Pink salmon Kasaan (District102),US Alaska (Pacific Salmon),1960-1998
PSALMKELPB,Pink salmon Kelp By (District112),US Alaska (Pacific Salmon),1960-1998
PSALMKLAWOCK,Pink salmon Klawock (District103),US Alaska (Pacific Salmon),1960-1998
PSALMKODIAKMD,Pink salmon Kodiak Mainland District,US Alaska (Pacific Salmon),1980-1998
PSALMKODIAKWD,Pink salmon Kodiak Westside District,US Alaska (Pacific Salmon),1978-1998
PSALMKUSKOKWIM,Pink salmon Kuskokwim,US Alaska (Pacific Salmon),1960-2003
PSALMLISIANSKI,Pink salmon Lisianski (District113),US Alaska (Pacific Salmon),1960-1998
PSALMLKAMR,Pink salmon Little Kamishak River (Kamishak D),US Alaska (Pacific Salmon),1962-1989
PSALMLYNNCD112,Pink salmon Lynn Cnl (District112),US Alaska (Pacific Salmon),1960-1998
PSALMLYNNCD115,Pink salmon Lynn Cnl (District115),US Alaska (Pacific Salmon),1960-1998
PSALMMOIRA,Pink salmon Moira (District102),US Alaska (Pacific Salmon),1960-1998
PSALMMONTD,Pink salmon Montague District,US Alaska (Pacific Salmon),1965-1998
PSALMMPNBNS,Pink salmon Moses Point and Norton Bay (Norton Sound),US Alaska (Pacific Salmon),1961-2003
PSALMNCHICHAGO,Pink salmon Nchichago (District114),US Alaska (Pacific Salmon),1960-1998
PSALMNOME,Pink salmon Nome (Norton Sound),US Alaska (Pacific Salmon),1965-2004
PSALMNUNAKWIKD,Pink salmon Northern/Unakwik District,US Alaska (Pacific Salmon),1965-1998
PSALMNUSHAGAKR,Pink salmon Nushagak River,US Alaska (Pacific Salmon),1960-1998
PSALMPCHATHAM,Pink salmon Port Chatham (Outer D),US Alaska (Pacific Salmon),1960-1998
PSALMPDICK,Pink salmon Port Dick (Outer D),US Alaska (Pacific Salmon),1960-1998
PSALMPERRYVILLED,Pink salmon Perryville District,US Alaska (Pacific Salmon),1962-1997
PSALMPGRAHAMSD,Pink salmon Port Graham (Southern D),US Alaska (Pacific Salmon),1960-1998
PSALMPORTAGEB,Pink salmon Portage B (District110),US Alaska (Pacific Salmon),1960-1998
