"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","Fmsy","Fmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","if_diff_5yrs","interval","check_ty_correct"
"Atlantic Ocean","ICCAT-ATBTUNAEATL-1950-2015-PONS","ATBTUNAEATL","ICCAT","ICCAT","1950-2015",1950,2015,"http://www.iccat.es/Documents/CVSP/CV071_2015/n_2/CV071020692.pdf","VPA","VPA","Virtual Population Analysis","multinational","Eastern Atlantic","multinational-ICCAT-EATL","Atlantic bluefin tuna Eastern Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna",0,"Current","Spain",27,"data available at http://rscloud.iccat.int/kobe/Inputs/bfte/2014/vpa/inflated/med/",NA,NA,NA,NA,NA,1950,2012,1950,2012,1950,2015,2012,2,2012,2011,"ICCAT-ATBTUNAEATL-1950-2015-PONS_2012","ICCAT-ATBTUNAEATL-1950-2015-PONS_2011",564000,504000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,564000,504000,NA,NA,0.0292,0.0622,"F-1/yr","1/yr",NA,NA,NA,NA,0.0292,0.0622,NA,NA,NA,NA,0.14,"",0.14,"Fmsy-1/yr",NA,NA,NA,NA,325322,"",325322,"SSBmsy-MT",NA,"N",3,"Y"
"Atlantic Ocean","ICCAT-ATBTUNAEATL-1951-2016-PONS","ATBTUNAEATL","ICCAT","ICCAT","1951-2016",1951,2016,"http://iccat.es/Documents/Meetings/Docs/2017_BFT_ASS_REP_ENG.pdf","VPA","VPA","Virtual Population Analysis","multinational","Eastern Atlantic","multinational-ICCAT-EATL","Atlantic bluefin tuna Eastern Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna",999,"Current","Spain",27,"NULL",NA,NA,NA,NA,NA,1968,2015,1968,2015,1951,2016,2015,1,2012,2011,"ICCAT-ATBTUNAEATL-1951-2016-PONS_2012","ICCAT-ATBTUNAEATL-1951-2016-PONS_2011",468000,414000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,468000,414000,NA,NA,0.04,0.05,"F-1/yr","1/yr",NA,NA,NA,NA,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3,"Y"
"Canada East Coast","DFO-COD4TVn-1965-2015-WATSON","COD4TVn","DFO","DFO","1965-2015",1965,2015,"http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2015/2015_080-eng.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","Southern Gulf of St. Lawrence","Canada-DFO-4T","Atlantic cod Southern Gulf of St. Lawrence","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",999,"Current","Canada",21,"NULL",NA,NA,NA,NA,NA,1971,2015,1971,2014,1965,2014,2014,1,2009,2008,"DFO-COD4TVn-1965-2015-WATSON_2009","DFO-COD4TVn-1965-2015-WATSON_2008",35200,44000,"SSB-MT","MT",NA,NA,NA,NA,174000000,205000000,35200,44000,NA,NA,0.003,0.03,"F-1/yr","1/yr",NA,NA,NA,NA,0.003,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",5,"Y"
"Canada East Coast","DFO-HERR4TFA-1978-2014-WATSON","HERR4TFA","DFO","DFO","1978-2014",1978,2014,"http://www.dfo-mpo.gc.ca/csas-sccs/Publications/ResDocs-DocRech/2015/2015_025-eng.pdf","VPA","SPA-ADAPT","Sequential Population Analysis / ADAPT","Canada","Southern Gulf of St. Lawrence (Fall spawners)","Canada-DFO-4TFS","Herring Southern Gulf of St. Lawrence (Fall spawners)","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",999,"Current","Canada",21,"NULL","0.2","NULL","",NA,NA,1978,2014,1978,2013,1981,2013,2013,1,2006,2005,"DFO-HERR4TFA-1978-2014-WATSON_2006","DFO-HERR4TFA-1978-2014-WATSON_2005",231000,262000,"SSB-MT","MT",NA,NA,NA,NA,1140000,1310000,231000,262000,NA,NA,0.329,0.347,"F-1/yr","1/yr",NA,NA,NA,NA,0.329,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",7,"Y"
"Canada East Coast","DFO-HERR4TSP-1978-2014-WATSON","HERR4TSP","DFO","DFO","1978-2014",1978,2014,"http://www.dfo-mpo.gc.ca/csas-sccs/Publications/ResDocs-DocRech/2015/2015_025-eng.pdf","VPA","SPA-ADAPT","Sequential Population Analysis / ADAPT","Canada","Southern Gulf of St. Lawrence (Spring spawners)","Canada-DFO-4TSS","Herring Southern Gulf of St. Lawrence (Spring spawners)","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",999,"Current","Canada",21,"NULL","0.2","NULL","",NA,NA,1978,2014,1978,2013,1981,2013,2013,1,2006,2005,"DFO-HERR4TSP-1978-2014-WATSON_2006","DFO-HERR4TSP-1978-2014-WATSON_2005",11700,13200,"SSB-MT","MT",NA,NA,NA,NA,58000,42400,11700,13200,NA,NA,0.452,1.22,"F-1/yr","1/yr",NA,NA,NA,NA,0.452,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",7,"Y"
"Canada East Coast","DFO-SG-COD4TVn-1930-2011-CHING","COD4TVn","DFO","DFO-SG","1930-2011",1930,2011,"http://www.dfo-mpo.gc.ca/Csas-sccs/publications/resdocs-docrech/2012/2012_052-eng.pdf","Unknown","Unknown","Unknown","Canada","Southern Gulf of St. Lawrence","Canada-DFO-4T","Atlantic cod Southern Gulf of St. Lawrence","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",0,"Current","Canada",21,"NULL",NA,NA,NA,NA,NA,1950,2011,1950,2009,1930,2009,2009,2,2009,2008,"DFO-SG-COD4TVn-1930-2011-CHING_2009","DFO-SG-COD4TVn-1930-2011-CHING_2008",45000,51300,"SSB-MT","MT",34300,41300,34300,41300,NA,NA,45000,51300,NA,NA,0.00178,0.0116,"F-1/yr","1/yr",0.00461,0.0344,0.00461,0.0344,0.00178,0.0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",5,"Y"
"Canada East Coast","DFO-SG-HERR4TFA-1974-2007-PREFONTAINE","HERR4TFA","DFO","DFO-SG","1974-2007",1974,2007,"http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm","VPA","SPA-ADAPT","Sequential Population Analysis / ADAPT","Canada","Southern Gulf of St. Lawrence (Fall spawners)","Canada-DFO-4TFS","Herring Southern Gulf of St. Lawrence (Fall spawners)","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Canada",21,"The number of recruits for 2007 are geometric means of 1978-2006","0.2","2007","NULL",NA,NA,1978,2007,1978,2006,1978,2006,2006,2,2006,2005,"DFO-SG-HERR4TFA-1974-2007-PREFONTAINE_2006","DFO-SG-HERR4TFA-1974-2007-PREFONTAINE_2005",359000,398000,"SSB-MT","MT",359000,398000,359000,398000,NA,NA,359000,398000,NA,NA,0.197,0.189,"F-1/yr","1/yr",NA,NA,NA,NA,0.197,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",7,"Y"
"Canada East Coast","DFO-SG-HERR4TSP-1974-2007-PREFONTAINE","HERR4TSP","DFO","DFO-SG","1974-2007",1974,2007,"http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm","VPA","SPA-ADAPT","Sequential Population Analysis / ADAPT","Canada","Southern Gulf of St. Lawrence (Spring spawners)","Canada-DFO-4TSS","Herring Southern Gulf of St. Lawrence (Spring spawners)","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Canada",21,"The number of recruits for 2007 are geometric means of 1996-2006","0.2","2007","NULL",NA,NA,1978,2007,1978,2006,1978,2006,2006,2,2006,2005,"DFO-SG-HERR4TSP-1974-2007-PREFONTAINE_2006","DFO-SG-HERR4TSP-1974-2007-PREFONTAINE_2005",30200,25800,"SSB-MT","MT",30200,25800,30200,25800,NA,NA,30200,25800,NA,NA,0.136,0.369,"F-1/yr","1/yr",NA,NA,NA,NA,0.136,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",7,"Y"
"Canada West Coast","DFO-HERRCC-1951-2015-WATSON","HERRCC","DFO","DFO","1951-2015",1951,2015,"http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","Central Coast","Canada-DFO-CC","Pacific herring Central Coast","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"NULL",NA,NA,NA,NA,NA,1951,2015,1951,2015,1951,2015,2015,2,2007,2006,"DFO-HERRCC-1951-2015-WATSON_2007","DFO-HERRCC-1951-2015-WATSON_2006",7100,8710,"SSB-MT","MT",22200,32700,22200,32700,NA,NA,7100,8710,NA,NA,0.0179279279279279,0.0938837920489297,"ERbest-ratio","ratio",0.0179279279279279,0.0938837920489297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-HERRPRD-1951-2015-WATSON","HERRPRD","DFO","DFO","1951-2015",1951,2015,"http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","Prince Rupert District","Canada-DFO-PRD","Pacific herring Prince Rupert District","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"NULL",NA,NA,NA,NA,NA,1951,2015,1951,2015,1951,2015,2015,2,2007,2006,"DFO-HERRPRD-1951-2015-WATSON_2007","DFO-HERRPRD-1951-2015-WATSON_2006",16300,14600,"SSB-MT","MT",33200,41300,33200,41300,NA,NA,16300,14600,NA,NA,0.0291867469879518,0.0634382566585956,"ERbest-ratio","ratio",0.0291867469879518,0.0634382566585956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
