"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","Fmsy","Fmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","ty_order","if_diff_5yrs","interval"
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER","HERRVIaVIIbc","ICES","HAWG","1956-2010",1956,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2006%20Herring%20in%20Division%20VIa%20(South)%20and%20VIIb,c.pdf","VPA","VPA","Virtual Population Analysis","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"NULL",NA,NA,NA,NA,NA,1957,2010,1957,2010,1957,2010,2010,6,2010,2009,"HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2010","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2009",23500,25000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,23500,25000,NA,NA,0.189,0.182,"ERbest-ratio","ratio",0.189,0.182,0.189,0.182,0.547,0.563,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship, under different productivity regimes.",NA,NA,0.33,"Floss",NA,NA,NA,NA,NA,NA,NA,1,"N",2
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2013-ICESIMP2016","HERRVIaVIIbc","ICES","HAWG","1956-2013",1956,2013,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-irlw.pdf","Age-based analytical (FLICA)","Unknown","Age-based analytical (FLICA)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1957,2012,1957,2012,1957,2012,2012,5,2010,2009,"HAWG-HERRVIaVIIbc-1956-2013-ICESIMP2016_2010","HAWG-HERRVIaVIIbc-1956-2013-ICESIMP2016_2009",20700,24200,"SSB-MT","MT",74000,51400,74000,51400,NA,NA,20700,24200,NA,NA,0.137837837837838,0.204280155642023,"ERbest-ratio","ratio",0.137837837837838,0.204280155642023,NA,NA,0.542,0.501,NA,NA,NA,NA,0.25,NA,NA,NA,0.33,"",NA,NA,110000,NA,NA,NA,NA,1,"N",2
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER","HERRVIaVIIbc","ICES","HAWG","1956-2010",1956,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2006%20Herring%20in%20Division%20VIa%20(South)%20and%20VIIb,c.pdf","VPA","VPA","Virtual Population Analysis","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"NULL",NA,NA,NA,NA,NA,1957,2010,1957,2010,1957,2010,2010,6,2010,2009,"HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2010","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2009",23500,25000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,23500,25000,NA,NA,0.189,0.182,"ERbest-ratio","ratio",0.189,0.182,0.189,0.182,0.547,0.563,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship, under different productivity regimes.",NA,NA,0.33,"Floss",NA,NA,NA,NA,NA,NA,NA,2,"N",4
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016","HERRVIaVIIbc","ICES","HAWG","1956-2015",1956,2015,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-67bc.pdf","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"updated with corrected natural mortalities by ICES  (2015)",NA,NA,1957,2015,1957,2014,1957,2014,2014,4,2010,2009,"HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016_2010","HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016_2009",373000,416000,"SSB-MT","MT",694000,684000,694000,684000,NA,NA,373000,416000,NA,NA,0.043371757925072,0.0423976608187134,"ERbest-ratio","ratio",0.043371757925072,0.0423976608187134,NA,NA,0.09,0.0766,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",NA,NA,NA,NA,410000,NA,410000,"SSBtrigmsy-MT",NA,2,"N",4
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER","HERRVIaVIIbc","ICES","HAWG","1956-2010",1956,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2006%20Herring%20in%20Division%20VIa%20(South)%20and%20VIIb,c.pdf","VPA","VPA","Virtual Population Analysis","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"NULL",NA,NA,NA,NA,NA,1957,2010,1957,2010,1957,2010,2010,6,2010,2009,"HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2010","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2009",23500,25000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,23500,25000,NA,NA,0.189,0.182,"ERbest-ratio","ratio",0.189,0.182,0.189,0.182,0.547,0.563,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship, under different productivity regimes.",NA,NA,0.33,"Floss",NA,NA,NA,NA,NA,NA,NA,3,"N",5
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016","HERRVIaVIIbc","ICES","HAWG","1956-2016",1956,2016,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-67bc.pdf","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"updated with corrected natural mortalities by ICES  (2015)",NA,NA,1957,2016,1957,2015,1957,2015,2015,3,2010,2009,"HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016_2010","HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016_2009",402000,438000,"SSB-MT","MT",754000,728000,754000,728000,NA,NA,402000,438000,NA,NA,0.039920424403183,0.0398351648351648,"ERbest-ratio","ratio",0.039920424403183,0.0398351648351648,NA,NA,0.0837,0.0724,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT",NA,3,"N",5
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER","HERRVIaVIIbc","ICES","HAWG","1956-2010",1956,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2006%20Herring%20in%20Division%20VIa%20(South)%20and%20VIIb,c.pdf","VPA","VPA","Virtual Population Analysis","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"NULL",NA,NA,NA,NA,NA,1957,2010,1957,2010,1957,2010,2010,6,2010,2009,"HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2010","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2009",23500,25000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,23500,25000,NA,NA,0.189,0.182,"ERbest-ratio","ratio",0.189,0.182,0.189,0.182,0.547,0.563,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship, under different productivity regimes.",NA,NA,0.33,"Floss",NA,NA,NA,NA,NA,NA,NA,4,"Y",6
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018","HERRVIaVIIbc","ICES","HAWG","1956-2017",1956,2017,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1957,2017,1957,2016,1957,2016,2016,2,2010,2009,"HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018_2010","HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018_2009",380000,420000,"SSB-MT","MT",699000,693000,699000,693000,NA,NA,380000,420000,NA,NA,0.0416309012875536,0.0438672438672439,"ERbest-ratio","ratio",0.0416309012875536,0.0438672438672439,NA,NA,0.0894,0.0761,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT",NA,4,"Y",6
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER","HERRVIaVIIbc","ICES","HAWG","1956-2010",1956,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2006%20Herring%20in%20Division%20VIa%20(South)%20and%20VIIb,c.pdf","VPA","VPA","Virtual Population Analysis","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"NULL",NA,NA,NA,NA,NA,1957,2010,1957,2010,1957,2010,2010,6,2010,2009,"HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2010","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER_2009",23500,25000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,23500,25000,NA,NA,0.189,0.182,"ERbest-ratio","ratio",0.189,0.182,0.189,0.182,0.547,0.563,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship, under different productivity regimes.",NA,NA,0.33,"Floss",NA,NA,NA,NA,NA,NA,NA,5,"Y",7
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018","HERRVIaVIIbc","ICES","HAWG","1956-2018",1956,2018,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",999,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1957,2018,1957,2017,1957,2017,2017,1,2010,2009,"HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018_2010","HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018_2009",341000,383000,"SSB-MT","MT",631000,637000,631000,637000,NA,NA,341000,383000,NA,NA,0.04770206022187,0.0455259026687598,"ERbest-ratio","ratio",0.04770206022187,0.0455259026687598,NA,NA,0.1,0.0834,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT",NA,5,"Y",7
