"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","instFmsy","instFmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","ty_order","if_diff_5yrs","interval","TB_by_TBmsy","SSB_by_SSBmsy","InstF_by_InstFmsy","ER_by_ERmsy","OFL_instF","OFL_instF_2","OFL_ER","Bmsy","Bmsy_type","Fmsy","Fmsy_type","B_by_Bmsy","B_by_Bmsy_type","F_by_Fmsy","F_by_Fmsy_type","OFL_ty","OFL_ty_type"
"Europe (EU)","HAWG-HERRSIRS-1957-2010-NEUBAUER","HERRSIRS","ICES","HAWG","1957-2010",1957,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Annex%2005%20Stock%20Annex%20Herring%20in%20the%20Celtic%20Sea%20and%20VIIj.pdf","Age-based analytical assessment (FLICA)","ICA","Age-based analytical assessment (FLICA)","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"NULL",NA,NA,"assumed to be constant",NA,NA,1958,2010,1958,2010,1958,2010,2010,8,2010,2009,"HAWG-HERRSIRS-1957-2010-NEUBAUER_2010","HAWG-HERRSIRS-1957-2010-NEUBAUER_2009",114000,106000,"SSB-MT","MT",168000,191000,168000,191000,NA,NA,114000,106000,NA,NA,0.0845,0.0652,"F-1/yr","1/yr",0.0498,0.03,0.0498,0.03,0.0845,0.0652,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship.",NA,NA,NA,NA,NA,NA,61000,NA,NA,NA,NA,1,"N",1,NA,1.86885245901639,0.338,NA,NA,25216.7107298598,NA,61000,"SSBmsy",0.25,"instFmsy",1.86885245901639,"SSB_by_SSBmsy",0.338,"InstF_by_InstFmsy",25216.7107298598,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2012-ICESIMP2016","HERRSIRS","ICES","HAWG","1957-2012",1957,2012,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2012/2012/her-irls.pdf","Age-based analytical assessment (FLICA)","Unknown","Age-based analytical assessment (FLICA)","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"assumed to be constant",NA,NA,1958,2012,1958,2011,1958,2011,2011,7,2010,2009,"HAWG-HERRSIRS-1957-2012-ICESIMP2016_2010","HAWG-HERRSIRS-1957-2012-ICESIMP2016_2009",84300,69100,"SSB-MT","MT",135000,128000,135000,128000,NA,NA,84300,69100,NA,NA,0.134,0.104,"F-1/yr","1/yr",0.062,0.044921875,NA,NA,0.134,0.104,NA,NA,NA,NA,0.25,"",0.25,"Fmsy-1/yr",NA,NA,NA,NA,61000,NA,NA,NA,NA,1,"N",1,NA,1.38196721311475,0.536,NA,NA,18647.0939870806,NA,61000,"SSBmsy",0.25,"instFmsy",1.38196721311475,"SSB_by_SSBmsy",0.536,"InstF_by_InstFmsy",18647.0939870806,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2010-NEUBAUER","HERRSIRS","ICES","HAWG","1957-2010",1957,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Annex%2005%20Stock%20Annex%20Herring%20in%20the%20Celtic%20Sea%20and%20VIIj.pdf","Age-based analytical assessment (FLICA)","ICA","Age-based analytical assessment (FLICA)","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"NULL",NA,NA,"assumed to be constant",NA,NA,1958,2010,1958,2010,1958,2010,2010,8,2010,2009,"HAWG-HERRSIRS-1957-2010-NEUBAUER_2010","HAWG-HERRSIRS-1957-2010-NEUBAUER_2009",114000,106000,"SSB-MT","MT",168000,191000,168000,191000,NA,NA,114000,106000,NA,NA,0.0845,0.0652,"F-1/yr","1/yr",0.0498,0.03,0.0498,0.03,0.0845,0.0652,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship.",NA,NA,NA,NA,NA,NA,61000,NA,NA,NA,NA,2,"N",2,NA,1.86885245901639,0.338,NA,NA,25216.7107298598,NA,61000,"SSBmsy",0.25,"instFmsy",1.86885245901639,"SSB_by_SSBmsy",0.338,"InstF_by_InstFmsy",25216.7107298598,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2013-ICESIMP2016","HERRSIRS","ICES","HAWG","1957-2013",1957,2013,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-irls.pdf","Age-based analytical assessment (FLICA)","Unknown","Age-based analytical assessment (FLICA)","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"assumed to be constant",NA,NA,1958,2013,1958,2012,1958,2012,2012,6,2010,2009,"HAWG-HERRSIRS-1957-2013-ICESIMP2016_2010","HAWG-HERRSIRS-1957-2013-ICESIMP2016_2009",113000,87800,"SSB-MT","MT",187000,163000,187000,163000,NA,NA,113000,87800,NA,NA,0.104,0.0828,"F-1/yr","1/yr",0.0447593582887701,0.0352760736196319,NA,NA,0.104,0.0828,NA,NA,NA,NA,0.25,"",0.25,"Fmsy-1/yr",NA,NA,NA,NA,61000,NA,61000,"SSBtrigmsy-MT",NA,2,"N",2,NA,1.85245901639344,0.416,NA,NA,24995.5115129312,NA,61000,"SSBmsy",0.25,"instFmsy",1.85245901639344,"SSB_by_SSBmsy",0.416,"InstF_by_InstFmsy",24995.5115129312,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2010-NEUBAUER","HERRSIRS","ICES","HAWG","1957-2010",1957,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Annex%2005%20Stock%20Annex%20Herring%20in%20the%20Celtic%20Sea%20and%20VIIj.pdf","Age-based analytical assessment (FLICA)","ICA","Age-based analytical assessment (FLICA)","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"NULL",NA,NA,"assumed to be constant",NA,NA,1958,2010,1958,2010,1958,2010,2010,8,2010,2009,"HAWG-HERRSIRS-1957-2010-NEUBAUER_2010","HAWG-HERRSIRS-1957-2010-NEUBAUER_2009",114000,106000,"SSB-MT","MT",168000,191000,168000,191000,NA,NA,114000,106000,NA,NA,0.0845,0.0652,"F-1/yr","1/yr",0.0498,0.03,0.0498,0.03,0.0845,0.0652,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship.",NA,NA,NA,NA,NA,NA,61000,NA,NA,NA,NA,3,"N",3,NA,1.86885245901639,0.338,NA,NA,25216.7107298598,NA,61000,"SSBmsy",0.25,"instFmsy",1.86885245901639,"SSB_by_SSBmsy",0.338,"InstF_by_InstFmsy",25216.7107298598,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2014-ICESIMP2016","HERRSIRS","ICES","HAWG","1957-2014",1957,2014,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-irls.pdf","Age-based analytical assessment (SAM)","Unknown","Unknown","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1958,2013,1958,2013,1958,2013,2013,5,2010,2009,"HAWG-HERRSIRS-1957-2014-ICESIMP2016_2010","HAWG-HERRSIRS-1957-2014-ICESIMP2016_2009",74300,61500,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,74300,61500,NA,NA,0.164,0.122,"F-1/yr","1/yr",NA,NA,NA,NA,0.164,0.122,NA,NA,NA,NA,0.37,NA,0.23,"Fmp-1/yr",NA,NA,NA,NA,NA,NA,61000,"SSBmp-MT",NA,3,"N",3,NA,NA,0.443243243243243,NA,NA,22978.4392336445,NA,NA,"SSBmsy",0.37,"instFmsy",NA,NA,0.443243243243243,"InstF_by_InstFmsy",22978.4392336445,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2010-NEUBAUER","HERRSIRS","ICES","HAWG","1957-2010",1957,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Annex%2005%20Stock%20Annex%20Herring%20in%20the%20Celtic%20Sea%20and%20VIIj.pdf","Age-based analytical assessment (FLICA)","ICA","Age-based analytical assessment (FLICA)","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"NULL",NA,NA,"assumed to be constant",NA,NA,1958,2010,1958,2010,1958,2010,2010,8,2010,2009,"HAWG-HERRSIRS-1957-2010-NEUBAUER_2010","HAWG-HERRSIRS-1957-2010-NEUBAUER_2009",114000,106000,"SSB-MT","MT",168000,191000,168000,191000,NA,NA,114000,106000,NA,NA,0.0845,0.0652,"F-1/yr","1/yr",0.0498,0.03,0.0498,0.03,0.0845,0.0652,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship.",NA,NA,NA,NA,NA,NA,61000,NA,NA,NA,NA,4,"N",4,NA,1.86885245901639,0.338,NA,NA,25216.7107298598,NA,61000,"SSBmsy",0.25,"instFmsy",1.86885245901639,"SSB_by_SSBmsy",0.338,"InstF_by_InstFmsy",25216.7107298598,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2015-ICESIMP2016","HERRSIRS","ICES","HAWG","1957-2015",1957,2015,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-irls.pdf","Age-based analytical assessment (ASAP)","Unknown","Unknown","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,NA,NA,NA,1958,2015,1958,2014,1958,2014,2014,4,2010,2009,"HAWG-HERRSIRS-1957-2015-ICESIMP2016_2010","HAWG-HERRSIRS-1957-2015-ICESIMP2016_2009",127000,109000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,127000,109000,NA,NA,0.083,0.068,"F-1/yr","1/yr",NA,NA,NA,NA,0.083,0.068,NA,NA,NA,NA,0.26,"",0.26,"Fmsy-1/yr",NA,NA,NA,NA,54000,NA,54000,"SSBtrigmsy-MT",NA,4,"N",4,NA,2.35185185185185,0.319230769230769,NA,NA,29076.4486029471,NA,54000,"SSBmsy",0.26,"instFmsy",2.35185185185185,"SSB_by_SSBmsy",0.319230769230769,"InstF_by_InstFmsy",29076.4486029471,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2010-NEUBAUER","HERRSIRS","ICES","HAWG","1957-2010",1957,2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Annex%2005%20Stock%20Annex%20Herring%20in%20the%20Celtic%20Sea%20and%20VIIj.pdf","Age-based analytical assessment (FLICA)","ICA","Age-based analytical assessment (FLICA)","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"NULL",NA,NA,"assumed to be constant",NA,NA,1958,2010,1958,2010,1958,2010,2010,8,2010,2009,"HAWG-HERRSIRS-1957-2010-NEUBAUER_2010","HAWG-HERRSIRS-1957-2010-NEUBAUER_2009",114000,106000,"SSB-MT","MT",168000,191000,168000,191000,NA,NA,114000,106000,NA,NA,0.0845,0.0652,"F-1/yr","1/yr",0.0498,0.03,0.0498,0.03,0.0845,0.0652,NA,NA,NA,NA,0.25,"Stochastic simulations on segmented regression stock recruit relationship.",NA,NA,NA,NA,NA,NA,61000,NA,NA,NA,NA,5,"N",5,NA,1.86885245901639,0.338,NA,NA,25216.7107298598,NA,61000,"SSBmsy",0.25,"instFmsy",1.86885245901639,"SSB_by_SSBmsy",0.338,"InstF_by_InstFmsy",25216.7107298598,"OFL_instF_2"
"Europe (EU)","HAWG-HERRSIRS-1957-2016-ICESIMP2016","HERRSIRS","ICES","HAWG","1957-2016",1957,2016,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-irls.pdf","Age-based analytical assessment (ASAP)","Unknown","Age-based analytical assessment (ASAP)","multinational","ICES 7a-g-h-j","multinational-ICES-VIIa-g-h-j","Herring ICES 7a-g-h-j","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Ireland",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"assumed to be constant",NA,NA,1958,2016,1958,2015,1958,2015,2015,3,2010,2009,"HAWG-HERRSIRS-1957-2016-ICESIMP2016_2010","HAWG-HERRSIRS-1957-2016-ICESIMP2016_2009",142000,122000,"SSB-MT","MT",228000,214000,228000,214000,NA,NA,142000,122000,NA,NA,0.074,0.061,"F-1/yr","1/yr",0.0367105263157895,0.0268691588785047,NA,NA,0.074,0.061,NA,NA,NA,NA,0.26,"",0.26,"Fmsy-1/yr",0.61,"",NA,NA,54000,NA,54000,"SSBtrigmsy-MT",NA,5,"N",5,NA,2.62962962962963,0.284615384615385,NA,NA,32510.6748158936,NA,54000,"SSBmsy",0.26,"instFmsy",2.62962962962963,"SSB_by_SSBmsy",0.284615384615385,"InstF_by_InstFmsy",32510.6748158936,"OFL_instF_2"
