"stockid","stockid_code","region","comparison","stock_comparison","stock_comparison_code","interval","period","ty","MethodChange","B_recent","B_old","F_recent","F_old","Bmsy_recent","Bmsy_old","Fmsy_recent","Fmsy_old","B_by_Bmsy_recent","B_by_Bmsy_old","F_by_Fmsy_recent","F_by_Fmsy_old","OFL_ty_recent","OFL_ty_old","mu_B","mu_F","mu_Bmsy","mu_Fmsy","mu_B_by_Bmsy","mu_F_by_Fmsy","mu_OFL","ty_code","num_assess"
"ATBTUNAEATL",16,"Atlantic Ocean",1,"ATBTUNAEATL_1",16,3,1,2012,NA,468000,564000,0.04,0.0292,NA,325322,NA,0.14,NA,1.73366695151266,NA,0.208571428571429,NA,73681.9552350735,468000,0.04,NA,NA,NA,NA,NA,1,2
"COD4TVn",34,"Canada East Coast",1,"COD4TVn_1",34,5,1,2009,NA,35200,45000,0.003,0.00178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35200,0.003,NA,NA,NA,NA,NA,1,2
"HERR4TFA",61,"Canada East Coast",1,"HERR4TFA_1",61,7,2,2006,NA,231000,359000,0.329,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231000,0.329,NA,NA,NA,NA,NA,1,2
"HERR4TSP",62,"Canada East Coast",1,"HERR4TSP_1",62,7,2,2006,NA,11700,30200,0.452,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11700,0.452,NA,NA,NA,NA,NA,1,2
"RSOLEHSTR",133,"Canada West Coast",1,"RSOLEHSTR_1",133,12,2,2001,NA,8210,2590,0.0976,0.118,4853,NA,0.507,NA,1.6917370698537,NA,0.192504930966469,NA,4162.47,NA,8210,0.0976,4853,0.507,1.6917370698537,0.192504930966469,4162.47,1,2
"HERR30-31",60,"Europe (EU)",1,"HERR30-31_1",60,1,1,2016,NA,440000,524000,0.26,0.23,283180,283180,0.21,0.21,1.55378204675471,1.85041316477152,1.23809523809524,1.0952380952381,83342.9317731177,99253.855111622,440000,0.26,283180,0.21,1.55378204675471,1.23809523809524,83342.9317731177,1,2
"WHITVIIa",177,"Europe (EU)",1,"WHITVIIa_1",177,1,1,2015,NA,708,213,0.9,1.61,NA,NA,0.219,NA,NA,NA,4.10958904109589,NA,139.248223547232,NA,708,0.9,NA,0.219,NA,4.10958904109589,139.248223547232,1,2
"SAURNWPAC",141,"Japan",1,"SAURNWPAC_1",141,3,1,2010,NA,932000,945000,0.0927884615384615,0.089,1355026,NA,0.35,NA,1.53502589618207,NA,NA,NA,326200,NA,932000,0.0927884615384615,1355026,0.35,1.53502589618207,NA,326200,1,2
"ANGLMEDGSA15-16",9,"Mediterranean-Black Sea",1,"ANGLMEDGSA15-16_1",9,0,1,2010,NA,536,536,0.351,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,0.351,NA,NA,NA,NA,NA,1,2
"SOLMEDGSA17",156,"Mediterranean-Black Sea",1,"SOLMEDGSA17_1",156,3,1,2011,NA,815,331,1.26,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815,1.26,NA,NA,NA,NA,NA,1,2
"PSHRMPMEDGSA6",109,"Mediterranean-Black Sea",1,"PSHRMPMEDGSA6_1",109,1,1,2011,NA,125,129,1.43,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1.43,NA,NA,NA,NA,NA,1,2
"NEPHMEDGSA5",81,"Mediterranean-Black Sea",1,"NEPHMEDGSA5_1",81,2,1,2011,NA,47.2,48.5,0.691,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,0.691,NA,NA,NA,NA,NA,1,2
"RDSHRMPMEDGSA6",117,"Mediterranean-Black Sea",1,"RDSHRMPMEDGSA6_1",117,3,1,2011,NA,2210,472,0.901,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2210,0.901,NA,NA,NA,NA,NA,1,2
