"stock_comparison","species","ty_old","ty_recent"
"ATBTUNAEATL_1","Thunnus thynnus",2015,2016
"COD4TVn_1","Gadus morhua",2011,2015
"HERR4TFA_1","Clupea harengus",2007,2014
"HERR4TSP_1","Clupea harengus",2007,2014
"RSOLEHSTR_1","Lepidopsetta bilineata",2001,2014
"HERR30-31_1","Clupea harengus",2017,2018
"WHITVIIa_1","Merlangius merlangus",2016,2017
"SAURNWPAC_1","Cololabis saira",2010,2013
"ANGLMEDGSA15-16_1","Lophius budegassa",2010,2011
"SOLMEDGSA17_1","Solea solea",2011,2014
"PSHRMPMEDGSA6_1","Parapenaeus longirostris",2011,2012
"NEPHMEDGSA5_1","Nephrops norvegicus",2011,2013
"RDSHRMPMEDGSA6_1","Aristeus antennatus",2011,2014
"ANCHMEDGSA17-18_1","Engraulis encrasicolus",2013,2015
"NEPHMEDGSA9_1","Nephrops norvegicus",2013,2015
"RSHRMPMEDGSA1_1","Parapenaeus longirostris",2012,2015
"SARDMEDGSA17-18_1","Sardina pilchardus",2013,2015
"SARDMEDGSA6_1","Sardina pilchardus",2013,2015
"SMULLMEDGSA9_1","Mullus surmuletus",2010,2015
"SPRBLKGSA29_1","Sprattus sprattus",2010,2014
"TURBLKGSA29_1","Scophthalmus maximus",2010,2014
"WHITMEDGSA29_1","Merlangius merlangus",2011,2014
"AUSSALMONNZ_1","Arripis trutta",2006,2013
"HOKIENZ_1","Macruronus novaezelandiae",2012,2015
"HOKIWNZ_1","Macruronus novaezelandiae",2012,2015
"PAUANPAU5A_1","Haliotis iris",2010,2014
"PAUAPAU7_1","Haliotis iris",2011,2015
"PAUASPAU5A_1","Haliotis iris",2009,2014
"SCMPBP_1","Metanephrops challengeri",2010,2012
"SCMPWHB_1","Metanephrops challengeri",2010,2012
"SMOOTHOREOCR_1","Pseudocyttus maculatus",2010,2013
"SOUTHHAKESA_1","Merluccius australis",2011,2014
"SBWHITACIR_1","Micromesistius australis",2011,2013
"PAUAPAU5B_1","Haliotis iris",2007,2013
"PAUAPAU5D_1","Haliotis iris",2006,2012
"PCODGA_1","Gadus macrocephalus",2014,2015
"SNOWCRABBS_1","Chionoecetes opilio",2013,2015
"TANNERCRABBSAI_1","Chionoecetes bairdi",2013,2015
"ACADREDGOMGB_1","Sebastes fasciatus",2007,2014
"AMPL5YZ_1","Hippoglossoides platessoides",2010,2014
"CODGOM_1","Gadus morhua",2011,2014
"HAD5Y_1","Melanogrammus aeglefinus",2011,2014
"HADGB_1","Melanogrammus aeglefinus",2010,2014
"HERRNWATLC_1","Clupea harengus",2011,2014
"POLL5YZ_1","Pollachius virens",2009,2014
"SCUPNWATLC_1","Stenotomus chrysops",2007,2014
"SDOGATLC_1","Squalus acanthias",2006,2015
"SFLOUNMATLC_1","Paralichthys dentatus",2012,2014
"WHAKEGBGOM_1","Urophycis tenuis",2011,2014
"WINFLOUN5Z_1","Pseudopleuronectes americanus",2011,2014
"WITFLOUN5Y_1","Glyptocephalus cynoglossus",2008,2014
"YELLCCODGOM_1","Limanda ferruginea",2008,2014
"YELLSNEMATL_1","Limanda ferruginea",2011,2014
"BRNSHRIMPGM_1","Farfantepenaeus aztecus",2011,2014
"GTRIGGM_1","Balistes capriscus",2010,2013
"MENATGM_1","Brevoortia patronus",2011,2017
"PINKSHRIMPGM_1","Farfantepenaeus duorarum",2011,2013
"VSNAPGM_1","Rhomboplites aurorubens",2004,2014
"WSHRIMPGM_1","Litopenaeus setiferus",2011,2014
"PHAKEPCOAST_1","Merluccius productus",2015,2016
"BIGEYEATL_1","Thunnus obesus",2010,2016
"YFINATL_1","Thunnus albacares",2011,2016
"BGRDRNSWWA_1","Macruronus novaezelandiae",2012,2017
"BIGHTREDSE_1","Centroberyx gerrardi",2007,2014
"DEEPFLATHEADSE_1","Platycephalus conatus",2007,2015
"MORWONGESE_1","Nemadactylus macropterus",2014,2017
"MORWONGWSE_1","Nemadactylus macropterus",2014,2017
"OROUGHYSE_1","Hoplostethus atlanticus",2007,2013
"REDFEAUS_1","Centroberyx affinis",2013,2016
"TIGERFLATSE_1","Platycephalus richardsoni",2006,2015
"WAREHOUESE_1","Seriolella brama",2006,2008
"WAREHOUWSE_1","Seriolella brama",2006,2008
"AMPL23K_1","Hippoglossoides platessoides",2004,2012
"COD3Pn4RS_1","Gadus morhua",2012,2015
"COD3Ps_1","Gadus morhua",2011,2014
"HAD4X5Y_1","Melanogrammus aeglefinus",2011,2014
"MACKNWATLSA3-4_1","Scomber scombrus",2011,2014
"SNOWCRABSGSL_1","Chionoecetes opilio",2007,2014
"REDFISHSPP3M_1","Sebastes spp",2006,2014
"PCODHS_1","Gadus macrocephalus",2005,2014
"SPURDNEATL_1","Squalus acanthias",2014,2016
"SBT_1","Thunnus maccoyii",2014,2016
"CMACKPJPN_1","Scomber japonicus",2009,2013
"JMACKPJPN_1","Trachurus japonicus",2009,2013
"JMACKTSST_1","Trachurus japonicus",2010,2013
"OFLOUNECS_1","Paralichthys olivaceus",2010,2013
"OFLOUNNSJ_1","Paralichthys olivaceus",2010,2013
"OFLOUNPAC_1","Paralichthys olivaceus",2009,2013
"OFLOUNSETO_1","Paralichthys olivaceus",2010,2013
"PILCHPJPN_1","Sardinops sagax",2009,2013
"PILCHTSST_1","Sardinops sagax",2010,2013
"RBRMECS_1","Pagrus major",2010,2013
"RBRMSETOE_1","Pagrus major",2010,2013
"RBRMSETOW_1","Pagrus major",2010,2013
"SPANMACKSETO_1","Scomberomorus niphonius",2010,2013
"RROCKLOBSTERCRA1_1","Jasus edwardsii",2001,2014
"RROCKLOBSTERCRA2_1","Jasus edwardsii",2001,2013
"RROCKLOBSTERCRA3_1","Jasus edwardsii",2007,2014
"RROCKLOBSTERCRA4_1","Jasus edwardsii",2005,2011
"RROCKLOBSTERCRA5_1","Jasus edwardsii",2002,2015
"RROCKLOBSTERCRA7_1","Jasus edwardsii",2005,2015
"RROCKLOBSTERCRA8_1","Jasus edwardsii",2005,2015
"ALBANPAC_1","Thunnus alalunga",2012,2015
"PACBTUNA_1","Thunnus orientalis",2012,2014
"STMARLINWCNPAC_1","Kajikia audax",2010,2013
"ANCHOSA_1","Engraulis encrasicolus",2011,2015
"CHAKESA_1","Merluccius capensis",2013,2015
"CRLOBSTERSA12_1","Jasus lalandii",2012,2014
"CRLOBSTERSA34_1","Jasus lalandii",2012,2014
"CRLOBSTERSA56_1","Jasus lalandii",2012,2014
"CRLOBSTERSA7_1","Jasus lalandii",2012,2014
"CRLOBSTERSA8_1","Jasus lalandii",2012,2014
"DEEPCHAKESA_1","Merluccius paradoxus",2013,2015
"PTOOTHFISHPEI_1","Dissostichus eleginoides",2013,2015
"SAABALONESA_1","Haliotis midae",2013,2015
"SARDSA_1","Sardinops sagax",2011,2015
"SSLOBSTERSASC_1","Palinurus gilchristi",2012,2014
"PATGRENADIERCH_1","Macruronus magellanicus",2012,2015
"SOUTHHAKECH_1","Merluccius australis",2011,2015
"SPHAKECH_1","Merluccius gayi gayi",2012,2015
"SSARDCH_1","Sprattus fuegensis",2012,2016
"PTOOTHFISHCH_1","Dissostichus eleginoides",2011,2014
"PANCHPERUNC_1","Engraulis ringens",2008,2016
"ARGANCHOSARG_1","Engraulis anchoita",2007,2015
"ARGHAKENARG_1","Merluccius hubbsi",2011,2014
"ARGHAKESARG_1","Merluccius hubbsi",2011,2015
"PATGRENADIERSARG_1","Macruronus magellanicus",2006,2015
"SBWHITARGS_1","Micromesistius australis",2007,2015
"ALPLAICBSAI_1","Pleuronectes quadrituberculatus",2010,2015
"ARFLOUNDBSAI_1","Atheresthes stomias",2010,2015
"ARFLOUNDGA_1","Atheresthes stomias",2010,2015
"ATKABSAI_1","Pleurogrammus monopterygius",2011,2015
"DSOLEGA_1","Microstomus pacificus",2009,2015
"DUSROCKGA_1","Sebastes variabilis",2010,2015
"FLSOLEBSAI_1","Hippoglossoides elassodon",2010,2015
"FLSOLEGA_1","Hippoglossoides elassodon",2010,2015
"NROCKBSAI_1","Sebastes polyspinis",2011,2015
"NROCKGA_1","Sebastes polyspinis",2010,2015
"NRSOLEEBSAI_1","Lepidopsetta polyxystra",2012,2015
"PERCHEBSAI_1","Sebastes alutus",2011,2015
"POPERCHGA_1","Sebastes alutus",2010,2015
"REXSOLEGA_1","Glyptocephalus zachirus",2011,2014
"RKCRABBB_1","Paralithodes camtschaticus",2008,2015
"SABLEFEBSAIGA_1","Anoplopoma fimbria",2010,2015
"SRAKEROCKBSAI_1","Sebastes borealis",2010,2014
"WPOLLAI_1","Theragra chalcogramma",2013,2015
"WPOLLGA_1","Theragra chalcogramma",2014,2015
"YSOLEBSAI_1","Limanda aspera",2010,2015
"MENATLAN_1","Brevoortia tyrannus",2005,2017
"BLUEFISHATLC_1","Pomatomus saltatrix",2007,2014
"MONKGOMNGB_1","Lophius americanus",2009,2010
"MONKSGBMATL_1","Lophius americanus",2009,2010
"QUAHATLC_1","Arctica islandica",2008,2011
"SURFMATLC_1","Spisula solidissima",2008,2011
"BNOSESHARATL_1","Carcharhinus acronotus",2005,2009
"GRAMBERGM_1","Seriola dumerili",2004,2012
"RGROUPGM_1","Epinephelus morio",2005,2013
"RSNAPGM_1","Lutjanus campechanus",2011,2013
"SBARSHARATL_1","Carcharhinus plumbeus",2004,2009
"ARFLOUNDPCOAST_1","Atheresthes stomias",2007,2015
"CHILISPCOAST_1","Sebastes goodei",2007,2015
"CROCKPCOAST_1","Sebastes pinniger",2011,2015
"DKROCKPCOAST_1","Sebastes crameri",2011,2015
"KELPGREENLINGORECOAST_1","Hexagrammos decagrammus",2005,2015
"PSOLEPCOAST_1","Eopsetta jordani",2011,2015
"SABLEFPCOAST_1","Anoplopoma fimbria",2011,2015
