"assessid","stockid","country","region","assesssource","method","methodlong","M","M_notes","ty","B_ty","B_type","B_unit","TBbest_ty","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1"
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","USA","US East Coast","http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/","Statistical catch at age model","Age Structured Assessment Program","0.05","",2007,235000,"SSB-MT","MT",NA,NA,NA,NA,NA,235000,199000,NA,NA,0.005,0.00345
"NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016","ACADREDGOMGB","USA","US East Coast","","Statistical catch at age model","Age Structured Assessment Program",NA,NA,2007,206000,"SSB-MT","MT",NA,NA,NA,NA,NA,206000,185000,NA,NA,0.00578,0.0036
"ICCAT-ALBANATL-1930-2015-PONS","ALBANATL","multinational","Atlantic Ocean","http://www.iccat.es/Documents/CVSP/CV070_2014/n_3/CV070030830.pdf","Biomass dynamics model","Surplus production model","0.3","",2011,325000,"TBbest-MT","MT",325000,325000,311000,NA,NA,NA,NA,NA,NA,0.0615384615384615,0.0627009646302251
"ICCAT-ALBANATL-1930-2016-PONS","ALBANATL","multinational","Atlantic Ocean","http://iccat.es/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf","Statistical catch at age model","A length-based, age and spatially-structured model for fisheries stock assessment",NA,NA,2011,529000,"TBbest-MT","MT",529000,529000,515000,NA,NA,NA,NA,NA,NA,0.0378071833648393,0.0378640776699029
"ISC-ALBANPAC-1950-2012-PONS","ALBANPAC","multinational","Pacific Ocean","http://isc.ac.affrc.go.jp/pdf/ISC14pdf/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2012,669000,"TBbest-MT","MT",669000,669000,661000,NA,NA,110000,111000,NA,NA,0.119880418535127,0.121482602118003
"ISC-ALBANPAC-1952-2015-PONS","ALBANPAC","multinational","Pacific Ocean","NULL","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2012,895000,"TBbest-MT","MT",895000,895000,899000,NA,NA,73000,81600,NA,NA,0.103798882681564,0.0901001112347052
"AFSC-ALPLAICBSAI-1972-2010-STACHURA","ALPLAICBSAI","USA","US Alaska","http://www.afsc.noaa.gov/REFM/docs/2010/BSAIplaice.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.25","result of previous assessment profiling; may range from 0.195 for males to 0.27 for females",2010,765000,"TBbest-MT","MT",765000,765000,746000,NA,NA,300000,283000,NA,NA,0.0181699346405229,0.0186327077747989
"AFSC-ALPLAICBSAI-1975-2015-SISIMP2016","ALPLAICBSAI","USA","US Alaska","","Unknown","Unknown",NA,NA,2010,554000,"TBbest-MT","MT",554000,554000,557000,NA,NA,224000,219000,NA,NA,0.0292418772563177,0.0249551166965889
"DFO-AMPL23K-1960-2012-WATSON","AMPL23K","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/Csas-sccs/publications/resdocs-docrech/2012/2012_152-eng.pdf","Unknown","Unknown",NA,NA,2003,8000,"TBbest-MT","MT",8000,8000,6800,51500000,40300000,NA,NA,NA,NA,0.00425,0.0147058823529412
"DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE","AMPL23K","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm","Survey index","Temporal indices derived from scientific survey data",NA,NA,2003,8010,"TBbest-MT","MT",8010,8010,6820,NA,NA,3620,6940,NA,NA,0.00424,0.0144
"NEFSC-AMPL5YZ-1960-2010-HIVELY","AMPL5YZ","USA","US East Coast","http://www.nefsc.noaa.gov/","VPA","A general approach to fitting VPA models. ADAPT is based on minimising the sum-of-squares over any number of indices of abundance to find best-fit parameters.","0.2","",2010,17600,"SSB-MT","MT",NA,NA,NA,NA,NA,17600,16900,NA,NA,0.09,0.12
"NEFSC-AMPL5YZ-1980-2014-SISIMP2016","AMPL5YZ","USA","US East Coast","","VPA","Virtual Population Analysis",NA,NA,2010,14000,"SSB-MT","MT",NA,NA,NA,NA,NA,14000,13000,NA,NA,0.14,0.2
"STECF-ANCHMEDGSA17-18-1975-2015-OSIO","ANCHMEDGSA17-18","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/1517808/2016-12_STECF+16-22+-+MED+assessments+part+1_JRCxxx.pdf","Statistical catch at age model","SAM",NA,NA,2013,394000,"SSB-MT","MT",680000,680000,794000,NA,NA,394000,452000,NA,NA,1.23,1.32
"STECF-ANCHMEDGSA17-18-1976-2013-OSIO","ANCHMEDGSA17-18","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/823106/2014-12_STECF+14-17+-+Med+stock+assessments+-+part+1_JRC93120.pdf","Statistical catch at age model","SAM",NA,NA,2013,309000,"SSB-MT","MT",NA,NA,NA,NA,NA,309000,286000,NA,NA,1.04,1.05
"WGHANSA-ANCHOBAYB-1986-2015-ICESIMP2016","ANCHOBAYB","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ane-bisc.pdf","Unknown","Unknown",NA,NA,2006,20900,"SSB-MT","MT",NA,NA,NA,NA,NA,20900,14000,NA,NA,0.0841,0.0808
"WGHANSA-ANCHOBAYB-1986-2016-ICESIMP2018","ANCHOBAYB","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ane-bisc.pdf","Unknown","Unknown",NA,NA,2006,20900,"SSB-MT","MT",20900,20900,14000,NA,NA,20900,14000,NA,NA,0.0837320574162679,0.0807142857142857
"WGHANSA-ANCHOBAYB-1986-2017-ICESIMP2018","ANCHOBAYB","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ane.27.8.pdf","Unknown","Unknown",NA,NA,2006,20300,"SSB-MT","MT",NA,NA,NA,NA,NA,20300,14400,NA,NA,0.086,0.078
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","ANCHOBAYB","multinational","Europe (EU)","http://www.ices.dk","Biomass dynamics model","Bayesian Biomass Model","1.2","Assumed all age classes and years",2006,23500,"SSB-MT","MT",NA,NA,NA,NA,NA,23500,15200,NA,NA,0.0416,0.0362
