assessid,stockid,country,region,assesssource,method,methodlong,M,M_notes,ty,B_ty,B_type,B_unit,F_ty,F_type,F_unit,ERmsybest,ERmsybest_notes,Fmsy,Fmsy_notes,TBmsybest,TBmsybest_notes,SSBmsy,SSBmsy_notes,FECmsy,FECmsy_notes,OFL_pdf,OFL_pdf_notes,F_ABC,F_ABC_notes,ABC_pdf,ABC_pdf_notes,if_B_match,comments
AFSC-ALPLAICBSAI-1972-2010-STACHURA,ALPLAICBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/docs/2010/BSAIplaice.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.25,result of previous assessment profiling; may range from 0.195 for males to 0.27 for females,2010,765000,TBbest-MT,MT,0.018169935,ERbest-ratio,ratio,NA,NA,0.77,F_OFL (F35%),NA,NA,155900,B35%,NA,NA,278340,MT,0.578,F40%,223620,MT,Y,
AFSC-ALPLAICBSAI-1975-2015-SISIMP2016,ALPLAICBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2016/BSAIplaice.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.13,NA,2010,554000,TBbest-MT,MT,0.029241877,ERbest-ratio,ratio,NA,NA,0.175,"F_OFL (F35%), changed in M setting",NA,NA,115087,B35%,NA,NA,,,0.143,F40%,,,Y,
AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,ARFLOUNDBSAI,USA,US Alaska,http://www.afsc.noaa.gov/REFM/docs/2010/BSAIatf.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.275,"0.35 for males, 0.2 for males, average for M",2009,1050000,TBbest-MT,MT,0.0158,ERbest-ratio,ratio,NA,NA,0.29,F_OFL (F35%),NA,NA,244650,B35%,NA,NA,,,0.23,F40%,,,Y,
AFSC-ARFLOUNDBSAI-1976-2015-SISIMP2016,ARFLOUNDBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2016/BSAIatf.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.275,"0.35 for males, 0.2 for males ",2009,908000,TBbest-MT,MT,0.032929515,ERbest-ratio,ratio,NA,NA,0.18,F_OFL (F35%),NA,NA,194266,B35%,NA,NA,,,0.153,F40%,,,Y,
AFSC-ARFLOUNDGA-1958-2010-STACHURA,ARFLOUNDGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/docs/2010/GOAatf.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.275,"0.35 for males, 0.2 for males ",2010,2140000,TBbest-MT,MT,0.0104,ERbest-ratio,ratio,0.2258,ERmsy-ratio,0.219,F_OFL (F35%),1125922.626,TBmsy-calc-MT,418969,B35%,NA,NA,254271,MT,0.183,F40%,215882,MT,Y,
AFSC-ARFLOUNDGA-1961-2015-SISIMP2016,ARFLOUNDGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2016/GOAatf.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.275,"0.35 for males, 0.2 for males ",2010,2100000,TBbest-MT,MT,0.01147619,ERbest-ratio,ratio,NA,NA,0.204,F_OFL (F35%),NA,NA,347295,B35%,NA,NA,,,0.171,F40%,,,Y,
NWFSC-ARFLOUNDPCOAST-1914-2015-SISIMP2016,ARFLOUNDPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2017/12/2017-assessment-update-for-the-us-west-coast-stock-of-arrowtooth-flounder.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.258,"0.216 for female, 0.30 for male ",2007,59087,TBbest-MT,MT,0.03697479,ERbest-ratio,ratio,0.2606,ERmsy,NA,NA,NA,NA,11558.7,SSBmsy,NA,NA,,5800,MT,,,,N,
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,ARFLOUNDPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2007/08/stock-assessment-of-the-arrowtooth-flounder-atheresthes-stomias-population-off-the-west-coast-of-the-united-states-in-2007-august-22-2007.pdf/,Stock Synthesis v2.0 model,Stock Synthesis v2.0 model,0.22,"0.166 for female, 0.274 for male ",2007,85175,TBbest-MT,MT,0.0286,ERbest-ratio,ratio,0.21,ERmsy,NA,NA,44591.4474,TBmsy-calc-MT,16593,SSBmsy,NA,NA,,,,,5800,MT,N,
AFSC-ATKABSAI-1976-2011-STACHURA,ATKABSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/docs/2011/BSAIatka.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.3,,2009,520000,TBbest-MT,MT,0.14,ERbest-ratio,ratio,NA,NA,0.468,F_OFL (F35%),NA,NA,91400,SSBmsy,NA,NA,,,0.384,F40%,,,Y,
AFSC-ATKABSAI-1977-2015-SISIMP2016,ATKABSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2016/BSAIatka.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.3,NA,2009,822000,TBbest-MT,MT,0.088564477,ERbest-ratio,ratio,NA,NA,0.35,F_OFL (F35%),NA,NA,118697,B35%,NA,NA,,,0.3,F40%,,,Y,
