"stockid","region","council","mgmt","area","primary_country"
"ACADREDGOMGB","US East Coast","NEFMC","NMFS","Gulf of Maine / Georges Bank","USA"
"ALBANATL","Atlantic Ocean","AOHS","ICCAT","Northern Atlantic","Spain"
"ALBANPAC","Pacific Ocean","POHS","ISC","North Pacific Ocean","Japan"
"ALPLAICBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA"
"AMPL23K","Canada East Coast","Canada East Coast","DFO","Labrador - NE Newfoundland","Canada"
"AMPL5YZ","US East Coast","NEFMC","NMFS","Gulf of Maine / Georges Bank","USA"
"ANCHMEDGSA17-18","Mediterranean-Black Sea","MBS","GFCM","Adriatic Sea (GSA 17,18)","Italy"
"ANCHOBAYB","Europe (EU)","Europe (EU)","ICES","Bay of Biscay","Spain"
"ANCHOSA","South Africa","South Africa","DETMCM","South Africa","South Africa"
"ANGLMEDGSA15-16","Mediterranean-Black Sea","MBS","GFCM","Malta Island and South of Sicily (GSA 15, 16)","Italy"
"ARFLOUNDBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA"
"ARFLOUNDGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
"ARFLOUNDPCOAST","US West Coast","NPFMC","NMFS","Pacific Coast","USA"
"ARGANCHONARG","South America","South America","CFP","Northern Argentina","Argentina"
"ARGANCHOSARG","South America","South America","CFP","Southern Argentina","Argentina"
"ARGHAKENARG","South America","South America","CFP","Northern Argentina","Argentina"
"ARGHAKESARG","South America","South America","CFP","Southern Argentina","Argentina"
"ATBTUNAEATL","Atlantic Ocean","AOHS","ICCAT","Eastern Atlantic","Spain"
"ATBTUNAWATL","Atlantic Ocean","AOHS","ICCAT","Western Atlantic","USA"
"ATKABSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA"
"atmackerel","US East Coast","MAFMC",NA,NA,NA
"AUSSALMONNZ","New Zealand","New Zealand","MFish","New Zealand","New Zealand"
"BGRDRNSWWA","Australia","Australia","AFMA","New South Wales to Western Australia","Australia"
"BIGEYEATL","Atlantic Ocean","AOHS","ICCAT","Atlantic Ocean","Japan"
"BIGEYECWPAC","Pacific Ocean","POHS","WCPFC","Central Western Pacific Ocean","Japan"
"BIGHTREDSE","Australia","Australia","AFMA","Southeast Australia","Australia"
"BlackSeaBass","US South Atlantic","SAFMC",NA,NA,NA
"BLINGVb-VI-VII","Europe (EU)","Europe (EU)","ICES","ICES 5b-6-7","France"
"BLUEFISHATLC","US East Coast","MAFMC","NMFS","Atlantic Coast","USA"
"BNOSESHARATL","US Southeast and Gulf","AOHS","NMFS","Atlantic","USA"
"BOCACCSPCOAST","US West Coast","PFMC","NMFS","Southern Pacific Coast","USA"
"BRNSHRIMPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"BSBASSMATLC","US East Coast","MAFMC","NMFS","Mid-Atlantic Coast","USA"
"BWHITNEA","Europe (EU)","Europe (EU)","ICES","Northeast Atlantic","Norway"
"CALSCORPSCAL","US West Coast","PFMC","NMFS","Southern California","USA"
"CAPENOR","Europe (non-EU)","Europe (non-EU)","ICES","Barents Sea","Norway"
"CHAKESA","South Africa","South Africa","DETMCM","South Africa","South Africa"
"CHILISPCOAST","US West Coast","PFMC","NMFS","Southern Pacific Coast","USA"
"CMACKPJPN","Japan","Japan","FAJ","Pacific Coast of Japan","Japan"
"COD2J3KL","Canada East Coast","Canada East Coast","DFO","Southern Labrador-Eastern Newfoundland","Canada"
"COD3Pn4RS","Canada East Coast","Canada East Coast","DFO","Northern Gulf of St. Lawrence","Canada"
"COD3Ps","Canada East Coast","Canada East Coast","DFO","St. Pierre Bank","Canada"
"COD4TVn","Canada East Coast","Canada East Coast","DFO","Southern Gulf of St. Lawrence","Canada"
"CODBA2224","Europe (EU)","Europe (EU)","ICES","Western Baltic","Denmark"
"CODBA2532","Europe (EU)","Europe (EU)","ICES","Eastern Baltic","Poland"
"CODFAPL","Europe (non-EU)","Europe (non-EU)","ICES","Faroe Plateau","Faroe Islands"
"CODGOM","US East Coast","NEFMC","NMFS","Gulf of Maine","USA"
"CODICE","Europe (non-EU)","Europe (non-EU)","ICES","Iceland Grounds","Iceland"
"CODIIIaW-IV-VIId","Europe (EU)","Europe (EU)","ICES","ICES 3a(west)-4-7d","Great Britain"
"CODIS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Ireland"
"CODNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Russia"
"CODNEARNCW","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic (Norwegian coastal waters)","Norway"
"CODVIa","Europe (EU)","Europe (EU)","ICES","West of Scotland","Great Britain"
"CODVIIek","Europe (EU)","Europe (EU)","ICES","Celtic Sea","France"
"COWCODSCAL","US West Coast","PFMC","NMFS","Southern California","USA"
"CRLOBSTERSA12","South Africa","South Africa","DETMCM","South Africa Areas 1-2","South Africa"
"CRLOBSTERSA34","South Africa","South Africa","DETMCM","South Africa Areas 3-4","South Africa"
"CRLOBSTERSA56","South Africa","South Africa","DETMCM","South Africa Areas 5-6","South Africa"
"CRLOBSTERSA7","South Africa","South Africa","DETMCM","South Africa Area 7","South Africa"
"CRLOBSTERSA8","South Africa","South Africa","DETMCM","South Africa Area 8","South Africa"
"CROCKPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA"
"CUSKVa-XIV","Europe (EU)","Europe (EU)","ICES","ICES 5a-14","Iceland"
"DEEPCHAKESA","South Africa","South Africa","DETMCM","South Africa","South Africa"
"DEEPFLATHEADSE","Australia","Australia","AFMA","Southeast Australia","Australia"
"DKROCKPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA"
"DSOLEGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
"DUSROCKGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
"EBASSIVbc-VII","Europe (EU)","Europe (EU)","ICES","ICES 4bc-7","France"
"FLSOLEBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA"
"FLSOLEGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
"FMEG8c9a","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Portugal"
"Gag","US South Atlantic","SAFMC",NA,NA,NA
"GHALNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway"
"GOLDREDNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway"
"GOLDREDV-VI-XII-XIV","Europe (EU)","Europe (EU)","ICES","ICES 5-6-12-14","Iceland"
"GRAMBERGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"GreaterAmberjack","US South Atlantic","SAFMC",NA,NA,NA
"GTRIGGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
