"stockid","region","council","mgmt","area","primary_country","lme_number"
"ACADREDGOMGB","US East Coast","NEFMC","NMFS","Gulf of Maine / Georges Bank","USA",7
"ALBANATL","Atlantic Ocean","AOHS","ICCAT","Northern Atlantic","Spain",-98
"ALBANPAC","Pacific Ocean","POHS","ISC","North Pacific Ocean","Japan",-99
"ALPLAICBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA",1
"AMPL23K","Canada East Coast","Canada East Coast","DFO","Labrador - NE Newfoundland","Canada",9
"AMPL5YZ","US East Coast","NEFMC","NMFS","Gulf of Maine / Georges Bank","USA",7
"ANCHMEDGSA17-18","Mediterranean-Black Sea","MBS","GFCM","Adriatic Sea (GSA 17,18)","Italy",62
"ANCHOBAYB","Europe (EU)","Europe (EU)","ICES","Bay of Biscay","Spain",24
"ANCHOSA","South Africa","South Africa","DETMCM","South Africa","South Africa",29
"ANGLMEDGSA15-16","Mediterranean-Black Sea","MBS","GFCM","Malta Island and South of Sicily (GSA 15, 16)","Italy",62
"ARFLOUNDBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA",1
"ARFLOUNDGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA",2
"ARFLOUNDPCOAST","US West Coast","NPFMC","NMFS","Pacific Coast","USA",3
"ARGANCHONARG","South America","South America","CFP","Northern Argentina","Argentina",14
"ARGANCHOSARG","South America","South America","CFP","Southern Argentina","Argentina",14
"ARGHAKENARG","South America","South America","CFP","Northern Argentina","Argentina",14
"ARGHAKESARG","South America","South America","CFP","Southern Argentina","Argentina",14
"ATBTUNAEATL","Atlantic Ocean","AOHS","ICCAT","Eastern Atlantic","Spain",-98
"ATBTUNAWATL","Atlantic Ocean","AOHS","ICCAT","Western Atlantic","USA",-98
"ATKABSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA",1
"atmackerel","US East Coast","MAFMC",NA,"Gulf of Maine / Georges Bank",NA,7
"AUSSALMONNZ","New Zealand","New Zealand","MFish","New Zealand","New Zealand",46
"BGRDRNSWWA","Australia","Australia","AFMA","New South Wales to Western Australia","Australia",42
"BIGEYEATL","Atlantic Ocean","AOHS","ICCAT","Atlantic Ocean","Japan",-98
