"stockid","mgmt","area","primary_country"
"ACADREDGOMGB","NMFS","Gulf of Maine / Georges Bank","USA"
"ALBAIO","IOTC","Indian Ocean","Taiwan"
"ALBAMED","ICCAT","Mediterranean Sea","Spain"
"ALBANATL","ICCAT","Northern Atlantic","Spain"
"ALBANPAC","ISC","North Pacific Ocean","Japan"
"ALBASATL","ICCAT","South Atlantic","Taiwan"
"ALBASPAC","WCPFC","South Pacific Ocean","Taiwan"
"ALPLAICBSAI","NMFS","Bering Sea and Aleutian Islands","USA"
"AMPL23K","DFO","Labrador - NE Newfoundland","Canada"
"AMPL3Ps","DFO","St. Pierre Bank","Canada"
"AMPL5YZ","NMFS","Gulf of Maine / Georges Bank","USA"
"ANCHIXa","ICES","Portugese Waters -East","Spain"
"ANCHMEDGSA16","GFCM","South of Sicily","Italy"
"ANCHMEDGSA17-18","GFCM","Adriatic Sea (GSA 17,18)","Italy"
"ANCHMEDGSA6","GFCM","Northern Spain","Spain"
"ANCHMEDGSA9","GFCM","Ligurian and North Tyrrhenian Sea","Italy"
"ANCHOBAYB","ICES","Bay of Biscay","Spain"
"ANCHOSA","DETMCM","South Africa","South Africa"
"ANGLMEDGSA15-16","GFCM","Malta Island and South of Sicily (GSA 15, 16)","Italy"
"ANGLVII-VIIIabd","ICES","ICES 7-8abd","Spain"
"ANGLVIIIc-IXa","ICES","ICES 8c-9a","Portugal"
"ARFLOUNDBSAI","NMFS","Bering Sea and Aleutian Islands","USA"
"ARFLOUNDGA","NMFS","Gulf of Alaska","USA"
"ARFLOUNDPCOAST","NMFS","Pacific Coast","USA"
"ARGANCHONARG","CFP","Northern Argentina","Argentina"
"ARGANCHOSARG","CFP","Southern Argentina","Argentina"
"ARGHAKENARG","CFP","Northern Argentina","Argentina"
"ARGHAKESARG","CFP","Southern Argentina","Argentina"
"ATBTUNAEATL","ICCAT","Eastern Atlantic","Spain"
"ATBTUNAWATL","ICCAT","Western Atlantic","USA"
"ATHAL3NOPs4VWX5Zc","DFO","Scotian Shelf and Southern Grand Banks","Canada"
"ATKABSAI","NMFS","Bering Sea and Aleutian Islands","USA"
"AUSSALMONNZ","MFish","New Zealand","New Zealand"
"BGRDRNSWWA","AFMA","New South Wales to Western Australia","Australia"
"BIGEYEATL","ICCAT","Atlantic Ocean","Japan"
"BIGEYECWPAC","WCPFC","Central Western Pacific Ocean","Japan"
"BIGEYEEPAC","IATTC","Eastern Pacific","Japan"
"BIGEYEIO","IOTC","Indian Ocean","Indonesia"
"BIGHTREDSE","AFMA","Southeast Australia","Australia"
"BJMACKXa2","ICES","Azores","Portugal"
"BKSFNEATL","ICES","Northeast Atlantic","Portugal"
"BLINGI-II-IIIa-IVa-VIII-IX-XII","ICES","ICES 1-2-3a-4a-8-9-12","Spain"
"BLINGVa-XIV","ICES","ICES 5a-14","Iceland"
"BLINGVb-VI-VII","ICES","ICES 5b-6-7","France"
"BLUEFISHATLC","NMFS","Atlantic Coast","USA"
"BMDOGVI-VII","ICES","ICES 6-7","France"
"BMDOGVIII-IXa","ICES","ICES 8-9a","Spain"
"BNOSESHARATL","NMFS","Atlantic","USA"
"BOARVI-VIII","ICES","ICES 6-8","Netherlands"
"BOCACCSPCOAST","NMFS","Southern Pacific Coast","USA"
"BRILL2232","ICES","Baltic Areas 22-32","Denmark"
"BRILLIIIa-IV-VIId","ICES","ICES 3a-4-7d","Netherlands"
"BRMSOJ","FAJ","Sea of Japan","Japan"
"BRNSHRIMPGM","NMFS","Gulf of Mexico","USA"
"BSBASSMATLC","NMFS","Mid-Atlantic Coast","USA"
"BSBASSSATL","NMFS","South Atlantic","USA"
"BTSHRIMPNAUST","AFMA","Northern Australia","Australia"
"BWHITNEA","ICES","Northeast Atlantic","Norway"
"CALSCORPSCAL","NMFS","Southern California","USA"
"CAPE4RST","DFO","Gulf of St. Lawrence","Canada"
"CAPEIIa-V-XIV","ICES","ICES 2a-5-14","Iceland"
"CAPENOR","ICES","Barents Sea","Norway"
"CHAKESA","DETMCM","South Africa","South Africa"
"CHILISPCOAST","NMFS","Southern Pacific Coast","USA"
"CHTRACCH","SPRFMO","Chilean EEZ and offshore","Chile"
